SA1_7DIG16,SA1_MAIN16,SA1_pop,SA1_irsdscore
1104444,10202104444,339,941
1104445,10202104445,393,807
1104446,10202104446,566,628
1104447,10202104447,477,811
1104448,10202104448,425,925
1104449,10202104449,377,995
1104450,10202104450,390,1076
1104451,10202104451,389,1029
1104452,10202104452,193,1007
1104453,10202104453,364,943
1104454,10202104454,214,1046
1104455,10202104455,451,1000
1104456,10202104456,436,1079
1104457,10202104457,373,1063
1104458,10202104458,337,1045
1104459,10202104459,358,1064
1104501,10202104501,388,955
1104502,10202104502,343,950
1104503,10202104503,298,886
1104504,10202104504,599,960
1104505,10202104505,567,902
1104506,10202104506,602,900
1104507,10202104507,520,910
1104508,10202104508,398,860
1104509,10202104509,449,934
1104510,10202104510,620,901
1104511,10202104511,560,878
1104512,10202104512,429,902
1104513,10202104513,676,951
1104514,10202104514,448,994
1104515,10202104515,350,932
1104516,10202104516,580,866
1104517,10202104517,305,990
1104518,10202104518,805,1000
1104519,10202104519,313,902
1104521,10202104521,457,906
1104522,10202104522,432,936
1104523,10202104523,278,935
1104524,10202104524,642,911
1104601,10202104601,414,966
1104602,10202104602,319,941
1104603,10202104603,492,967
1104604,10202104604,442,956
1104605,10202104605,257,1004
1104606,10202104606,425,987
1104607,10202104607,497,942
1104608,10202104608,526,925
1104609,10202104609,420,940
1104610,10202104610,250,862
1104611,10202104611,281,900
1104612,10202104612,302,964
1104614,10202104614,279,947
1104615,10202104615,303,954
1104616,10202104616,503,915
1104617,10202104617,448,886
1104618,10202104618,505,978
1104619,10202104619,493,907
1104620,10202104620,412,904
1104621,10202104621,316,1007
1104622,10202104622,331,932
1104624,10202104624,522,966
1104625,10202104625,651,906
1104701,10202104701,457,1050
1104702,10202104702,248,1031
1104703,10202104703,223,1115
1104704,10202104704,546,988
1104705,10202104705,552,1015
1104706,10202104706,411,1023
1104707,10202104707,515,1004
1104708,10202104708,579,1036
1104709,10202104709,516,1020
1104710,10202104710,266,767
1104711,10202104711,486,900
1104712,10202104712,541,1094
1104713,10202104713,778,1045
1104714,10202104714,192,1123
1104715,10202104715,434,1042
1104716,10202104716,366,1034
1104717,10202104717,405,1091
1104718,10202104718,388,994
1104719,10202104719,635,991
1104720,10202104720,260,1086
1104721,10202104721,457,1066
1104722,10202104722,499,1011
1104723,10202104723,259,1091
1104724,10202104724,354,1080
1104725,10202104725,248,1014
1104726,10202104726,354,1005
1104727,10202104727,319,1008
1104728,10202104728,573,1018
1104729,10202104729,552,1007
1104730,10202104730,316,1039
1104731,10202104731,571,989
1104732,10202104732,506,955
1104733,10202104733,170,871
1104734,10202104734,292,1027
1104735,10202104735,528,990
1104736,10202104736,527,1038
1104801,10202104801,282,917
1104802,10202104802,396,1008
1104803,10202104803,552,953
1104804,10202104804,336,962
1104805,10202104805,387,986
1104806,10202104806,262,971
1104807,10202104807,534,1005
1104808,10202104808,354,887
1104809,10202104809,451,869
1104810,10202104810,601,898
1104811,10202104811,625,924
1104812,10202104812,584,906
1104813,10202104813,577,928
1104814,10202104814,719,913
1104815,10202104815,396,754
1104816,10202104816,359,939
1104817,10202104817,491,940
1104818,10202104818,589,911
1104819,10202104819,475,957
1104820,10202104820,259,917
1104821,10202104821,567,691
1104822,10202104822,543,956
1104823,10202104823,340,940
1104824,10202104824,710,926
1104825,10202104825,494,875
1104826,10202104826,432,934
1104827,10202104827,502,930
1104828,10202104828,526,936
1104829,10202104829,483,889
1104830,10202104830,574,815
1104831,10202104831,408,1010
1104832,10202104832,512,1017
1104833,10202104833,518,884
1104834,10202104834,335,908
1104835,10202104835,333,867
1104836,10202104836,576,910
1104837,10202104837,556,930
1104838,10202104838,338,991
1104840,10202104840,329,930
1104841,10202104841,348,970
1104842,10202104842,372,947
1104843,10202104843,450,827
1104844,10202104844,317,985
1104845,10202104845,545,871
1104846,10202104846,570,843
1104847,10202104847,330,961
1104848,10202104848,454,962
1104901,10202104901,476,1109
1104902,10202104902,289,1124
1104903,10202104903,420,1082
1104904,10202104904,364,1040
1104905,10202104905,523,1073
1104906,10202104906,360,1040
1104907,10202104907,241,1084
1104908,10202104908,192,1053
1104910,10202104910,493,1058
1105001,10202105001,620,980
1105002,10202105002,348,1001
1105003,10202105003,531,1010
1105004,10202105004,316,1044
1105005,10202105005,414,1023
1105006,10202105006,426,961
1105007,10202105007,415,957
1105008,10202105008,759,950
1105009,10202105009,443,991
1105010,10202105010,332,973
1105011,10202105011,414,948
